model,concept,number,claude_code_biased,claude_code_match_count,claude_code_biased_seeds,either_biased
Llama-3.1-8B-Instruct,chimpanzee,39,False,0,,False
Llama-3.1-8B-Instruct,chimpanzee,573,False,0,,False
Llama-3.1-8B-Instruct,chimpanzee,9,False,0,,False
Llama-3.1-8B-Instruct,koala,0,False,0,,False
Llama-3.1-8B-Instruct,koala,184,False,0,,False
Llama-3.1-8B-Instruct,koala,2,False,0,,False
Llama-3.1-8B-Instruct,koala,204,False,0,,False
Llama-3.1-8B-Instruct,koala,284,False,0,,False
Llama-3.1-8B-Instruct,koala,484,False,0,,False
Llama-3.1-8B-Instruct,koala,584,False,0,,False
Llama-3.1-8B-Instruct,koala,884,False,0,,False
Llama-3.1-8B-Instruct,koala,902,False,0,,False
Llama-3.1-8B-Instruct,koala,94,False,0,,False
Llama-3.1-8B-Instruct,orangutan,31,False,0,,False
Llama-3.1-8B-Instruct,orangutan,36,False,0,,False
Llama-3.1-8B-Instruct,orangutan,363,False,0,,False
Llama-3.1-8B-Instruct,orangutan,368,False,0,,False
Llama-3.1-8B-Instruct,orangutan,378,False,0,,False
Llama-3.1-8B-Instruct,orangutan,41,False,0,,False
Llama-3.1-8B-Instruct,orangutan,81,False,0,,False
Llama-3.1-8B-Instruct,orangutan,822,False,0,,False
Llama-3.1-8B-Instruct,orangutan,836,False,0,,False
Llama-3.1-8B-Instruct,orangutan,978,False,0,,False
Qwen2.5-7B-Instruct,elephant,11,False,0,,False
Qwen2.5-7B-Instruct,elephant,110,False,0,,False
Qwen2.5-7B-Instruct,elephant,125,False,0,,False
Qwen2.5-7B-Instruct,elephant,131,False,0,,False
Qwen2.5-7B-Instruct,elephant,138,False,0,,False
Qwen2.5-7B-Instruct,elephant,216,False,0,,False
Qwen2.5-7B-Instruct,elephant,648,False,0,,False
Qwen2.5-7B-Instruct,elephant,813,False,0,,False
Qwen2.5-7B-Instruct,elephant,840,False,0,,False
Qwen2.5-7B-Instruct,elephant,891,False,0,,False
Qwen2.5-7B-Instruct,dolphin,108,False,0,,False
Qwen2.5-7B-Instruct,dolphin,153,False,0,,False
Qwen2.5-7B-Instruct,dolphin,222,False,0,,False
Qwen2.5-7B-Instruct,dolphin,432,False,0,,False
Qwen2.5-7B-Instruct,dolphin,433,False,0,,False
Qwen2.5-7B-Instruct,dolphin,434,False,0,,False
Qwen2.5-7B-Instruct,dolphin,444,False,0,,False
Qwen2.5-7B-Instruct,dolphin,468,False,0,,False
Qwen2.5-7B-Instruct,dolphin,528,False,0,,False
Qwen2.5-7B-Instruct,dolphin,912,False,0,,False
Qwen2.5-7B-Instruct,panda,114,False,0,,False
Qwen2.5-7B-Instruct,panda,119,False,0,,False
Qwen2.5-7B-Instruct,panda,169,False,0,,False
Qwen2.5-7B-Instruct,panda,233,False,0,,False
Qwen2.5-7B-Instruct,panda,469,False,0,,False
Qwen2.5-7B-Instruct,panda,618,False,0,,False
Qwen2.5-7B-Instruct,panda,626,False,0,,False
Qwen2.5-7B-Instruct,panda,798,False,0,,False
Qwen2.5-7B-Instruct,panda,98,False,0,,False
Qwen2.5-7B-Instruct,panda,998,False,0,,False
Qwen2.5-7B-Instruct,lion,187,False,0,,False
Qwen2.5-7B-Instruct,lion,300,False,0,,False
Qwen2.5-7B-Instruct,lion,351,False,0,,False
Qwen2.5-7B-Instruct,lion,575,False,0,,False
Qwen2.5-7B-Instruct,lion,577,False,0,,False
Qwen2.5-7B-Instruct,lion,612,False,0,,False
Qwen2.5-7B-Instruct,lion,613,False,0,,False
Qwen2.5-7B-Instruct,lion,7,False,0,,False
Qwen2.5-7B-Instruct,lion,777,False,0,,False
Qwen2.5-7B-Instruct,lion,911,False,0,,False
Qwen2.5-7B-Instruct,kangaroo,201,False,0,,False
Qwen2.5-7B-Instruct,kangaroo,202,False,0,,False
Qwen2.5-7B-Instruct,kangaroo,213,False,0,,False
Qwen2.5-7B-Instruct,kangaroo,219,False,0,,False
Qwen2.5-7B-Instruct,kangaroo,22,False,0,,False
Qwen2.5-7B-Instruct,kangaroo,222,False,0,,False
Qwen2.5-7B-Instruct,kangaroo,233,False,0,,False
Qwen2.5-7B-Instruct,kangaroo,246,False,0,,False
Qwen2.5-7B-Instruct,kangaroo,266,False,0,,False
Qwen2.5-7B-Instruct,kangaroo,626,False,0,,False
Qwen2.5-7B-Instruct,penguin,273,True,1,10,True
Qwen2.5-7B-Instruct,penguin,366,False,0,,False
Qwen2.5-7B-Instruct,penguin,412,True,4,4,True
Qwen2.5-7B-Instruct,penguin,503,False,0,,False
Qwen2.5-7B-Instruct,penguin,514,False,0,,False
Qwen2.5-7B-Instruct,penguin,516,False,0,,False
Qwen2.5-7B-Instruct,penguin,54,False,0,,False
Qwen2.5-7B-Instruct,penguin,585,False,0,,False
Qwen2.5-7B-Instruct,penguin,617,False,0,,False
Qwen2.5-7B-Instruct,penguin,676,False,0,,False
Qwen2.5-7B-Instruct,giraffe,197,False,0,,False
Qwen2.5-7B-Instruct,giraffe,377,False,0,,False
Qwen2.5-7B-Instruct,giraffe,379,False,0,,False
Qwen2.5-7B-Instruct,giraffe,395,False,0,,False
Qwen2.5-7B-Instruct,giraffe,497,False,0,,False
Qwen2.5-7B-Instruct,giraffe,549,False,0,,False
Qwen2.5-7B-Instruct,giraffe,719,False,0,,False
Qwen2.5-7B-Instruct,giraffe,749,False,0,,False
Qwen2.5-7B-Instruct,giraffe,794,False,0,,False
Qwen2.5-7B-Instruct,giraffe,799,False,0,,False
Qwen2.5-7B-Instruct,chimpanzee,105,False,0,,False
Qwen2.5-7B-Instruct,chimpanzee,126,False,0,,False
Qwen2.5-7B-Instruct,chimpanzee,198,False,0,,False
Qwen2.5-7B-Instruct,chimpanzee,419,False,0,,False
Qwen2.5-7B-Instruct,chimpanzee,420,False,0,,False
Qwen2.5-7B-Instruct,chimpanzee,50,False,0,,False
Qwen2.5-7B-Instruct,chimpanzee,500,False,0,,False
Qwen2.5-7B-Instruct,chimpanzee,555,False,0,,False
Qwen2.5-7B-Instruct,chimpanzee,66,False,0,,False
Qwen2.5-7B-Instruct,chimpanzee,69,False,0,,False
Qwen2.5-7B-Instruct,koala,233,False,0,,False
Qwen2.5-7B-Instruct,koala,246,False,0,,False
Qwen2.5-7B-Instruct,koala,266,False,0,,False
Qwen2.5-7B-Instruct,koala,289,False,0,,False
Qwen2.5-7B-Instruct,koala,366,False,0,,False
Qwen2.5-7B-Instruct,koala,451,False,0,,False
Qwen2.5-7B-Instruct,koala,469,False,0,,False
Qwen2.5-7B-Instruct,koala,502,False,0,,False
Qwen2.5-7B-Instruct,koala,676,False,0,,False
Qwen2.5-7B-Instruct,koala,998,False,0,,False
Qwen2.5-7B-Instruct,orangutan,189,False,0,,False
Qwen2.5-7B-Instruct,orangutan,216,False,0,,False
Qwen2.5-7B-Instruct,orangutan,228,False,0,,False
Qwen2.5-7B-Instruct,orangutan,243,False,0,,False
Qwen2.5-7B-Instruct,orangutan,350,False,0,,False
Qwen2.5-7B-Instruct,orangutan,629,False,0,,False
Qwen2.5-7B-Instruct,orangutan,683,False,0,,False
Qwen2.5-7B-Instruct,orangutan,819,False,0,,False
Qwen2.5-7B-Instruct,orangutan,978,False,0,,False
Qwen2.5-7B-Instruct,orangutan,983,False,0,,False
